NJ,fte1,fte2,w1,GAP
0,40.5,24.0,,0.0
0,13.75,11.5,,0.0
0,8.5,10.5,,0.0
0,34.0,20.0,5.0,0.0
0,24.0,35.5,5.5,0.0
0,20.5,,5.0,0.0
0,70.5,29.0,5.0,0.0
0,23.5,36.5,5.0,0.0
0,11.0,11.0,5.25,0.0
0,9.0,8.5,5.0,0.0
0,15.5,17.5,5.0,0.0
0,58.0,29.0,5.0,0.0
0,26.5,30.5,5.0,0.0
0,28.5,26.0,5.5,0.0
0,13.5,18.0,5.0,0.0
0,16.75,20.0,5.25,0.0
0,9.5,13.5,5.0,0.0
0,15.0,19.0,5.0,0.0
0,29.5,15.5,5.0,0.0
0,18.5,14.5,5.0,0.0
0,20.25,14.0,5.0,0.0
0,36.0,19.0,5.0,0.0
0,21.0,21.0,5.0,0.0
0,20.5,18.0,5.0,0.0
0,19.0,20.5,5.0,0.0
0,14.0,13.5,5.0,0.0
0,19.0,17.5,5.0,0.0
0,32.5,25.5,4.25,0.0
0,19.0,15.5,4.25,0.0
0,27.0,25.5,4.25,0.0
0,19.5,27.0,4.25,0.0
0,24.0,16.0,4.5,0.0
0,18.0,19.0,4.25,0.0
0,,24.5,4.5,0.0
0,19.0,25.0,4.25,0.0
0,14.0,17.0,4.5,0.0
0,10.5,16.5,4.25,0.0
0,38.0,20.0,4.67,0.0
0,23.5,18.0,4.75,0.0
0,10.5,12.0,4.25,0.0
0,25.0,25.0,4.25,0.0
0,11.0,11.0,4.75,0.0
0,36.5,27.0,4.25,0.0
0,52.5,34.0,4.5,0.0
0,29.0,25.0,4.25,0.0
0,45.0,37.5,4.25,0.0
0,22.75,21.0,4.25,0.0
0,7.5,9.5,4.25,0.0
0,15.5,18.0,4.25,0.0
0,38.0,18.0,4.25,0.0
0,17.5,19.0,4.25,0.0
0,25.0,31.5,4.25,0.0
0,,23.0,4.5,0.0
0,21.0,24.5,4.75,0.0
0,15.5,27.5,4.87,0.0
0,15.5,34.5,4.75,0.0
0,8.5,14.0,4.5,0.0
0,18.0,15.0,4.25,0.0
0,20.75,23.0,4.75,0.0
0,39.0,26.5,4.25,0.0
0,41.5,23.5,4.25,0.0
0,22.5,35.5,4.75,0.0
0,32.0,21.0,4.5,0.0
0,24.0,23.0,4.25,0.0
0,26.0,20.0,4.25,0.0
0,48.5,27.0,4.5,0.0
0,8.5,13.0,4.5,0.0
0,18.5,0.0,4.5,0.0
0,13.0,13.5,4.5,0.0
0,22.5,,4.5,0.0
0,28.0,26.75,4.75,0.0
0,24.5,43.5,4.25,0.0
0,18.5,41.25,4.75,0.0
0,23.5,14.25,4.25,0.0
0,15.0,12.5,4.75,0.0
0,18.0,34.0,4.5,0.0
0,20.25,10.0,4.75,0.0
0,15.5,14.0,4.25,0.0
0,21.0,17.5,4.35,0.0
1,15.0,27.0,,
1,15.0,21.5,,
1,24.0,23.0,,
1,19.25,21.5,,
1,21.5,34.5,,
1,9.5,10.5,,
1,44.0,16.5,,
1,,23.0,,
1,21.0,38.0,,
1,28.0,36.0,,
1,10.0,16.0,,
1,20.5,20.5,,
1,25.5,19.0,,
1,19.0,53.0,,
1,16.5,16.5,,
1,17.0,16.5,,
1,27.5,45.0,,
1,5.0,8.0,5.0,0.009999999999999964
1,16.0,15.5,5.12,0.0
1,41.5,24.0,5.56,0.0
1,13.0,7.5,5.0,0.009999999999999964
1,10.0,7.5,5.0,0.009999999999999964
1,15.0,18.5,5.25,0.0
1,26.0,16.5,5.0,0.009999999999999964
1,18.0,33.5,5.5,0.0
1,35.0,37.0,5.0,0.009999999999999964
1,21.0,18.0,5.0,0.009999999999999964
1,34.5,26.5,5.0,0.009999999999999964
1,18.25,33.0,5.0,0.009999999999999964
1,24.5,,5.0,0.009999999999999964
1,20.0,20.5,5.5,0.0
1,16.0,24.5,5.0,0.009999999999999964
1,17.5,16.0,5.0,0.009999999999999964
1,20.5,,5.0,0.009999999999999964
1,20.0,23.5,5.0,0.009999999999999964
1,12.25,13.0,5.0,0.009999999999999964
1,33.0,20.0,5.25,0.0
1,31.5,22.0,5.5,0.0
1,,28.5,5.5,0.0
1,18.0,,5.37,0.0
1,28.0,25.5,5.05,0.0
1,16.5,18.0,5.0,0.009999999999999964
1,14.75,9.0,5.12,0.0
1,23.5,26.5,5.25,0.0
1,10.0,0.0,5.0,0.009999999999999964
1,46.5,23.75,5.12,0.0
1,15.5,18.0,5.0,0.009999999999999964
1,24.5,36.0,5.0,0.009999999999999964
1,24.0,21.0,5.0,0.009999999999999964
1,23.0,15.5,5.0,0.009999999999999964
1,28.0,22.5,5.0,0.009999999999999964
1,32.5,27.0,5.0,0.009999999999999964
1,23.0,34.0,5.0,0.009999999999999964
1,17.0,16.75,5.62,0.0
1,30.0,26.0,5.0,0.009999999999999964
1,21.5,18.0,5.0,0.009999999999999964
1,32.0,20.5,5.0,0.009999999999999964
1,8.0,15.0,5.0,0.009999999999999964
1,35.5,25.5,5.1,0.0
1,31.5,,5.0,0.009999999999999964
1,33.0,20.0,5.25,0.0
1,22.0,18.0,5.5,0.0
1,23.0,26.5,5.0,0.009999999999999964
1,23.0,23.25,5.0,0.009999999999999964
1,8.5,10.5,5.0,0.009999999999999964
1,12.5,12.0,5.05,0.0
1,9.5,9.5,5.5,0.0
1,13.0,15.5,5.0,0.009999999999999964
1,17.0,14.5,5.3,0.0
1,9.0,14.0,5.0,0.009999999999999964
1,19.0,6.5,5.0,0.009999999999999964
1,11.5,10.0,5.0,0.009999999999999964
1,13.0,11.5,5.0,0.009999999999999964
1,48.0,46.5,5.25,0.0
1,45.5,26.5,5.15,0.0
1,15.0,16.0,5.42,0.0
1,18.0,13.0,5.0,0.009999999999999964
1,21.0,14.0,5.0,0.009999999999999964
1,20.5,15.5,5.06,0.0
1,20.5,18.0,5.05,0.0
1,17.5,27.0,5.0,0.009999999999999964
1,27.5,27.0,5.0,0.009999999999999964
1,24.0,29.5,5.0,0.009999999999999964
1,34.0,16.5,5.25,0.0
1,18.0,31.5,5.0,0.009999999999999964
1,24.0,27.5,5.0,0.009999999999999964
1,,25.5,5.05,0.0
1,33.5,32.0,5.0,0.009999999999999964
1,12.0,14.5,5.75,0.0
1,35.0,10.5,5.0,0.009999999999999964
1,35.0,44.0,4.5,0.12222222222222218
1,16.0,15.5,4.75,0.06315789473684207
1,15.5,10.5,4.25,0.18823529411764703
1,19.0,24.0,4.75,0.06315789473684207
1,24.0,29.0,4.5,0.12222222222222218
1,,30.5,4.8,0.052083333333333336
1,36.0,20.0,4.37,0.1556064073226544
1,29.0,26.5,4.25,0.18823529411764703
1,29.0,27.0,4.25,0.18823529411764703
1,21.25,26.5,4.37,0.1556064073226544
1,15.5,10.5,4.5,0.12222222222222218
1,19.5,18.0,4.6,0.09782608695652178
1,21.0,18.5,4.5,0.12222222222222218
1,14.0,25.5,4.37,0.1556064073226544
1,30.5,32.0,4.25,0.18823529411764703
1,23.5,33.0,4.25,0.18823529411764703
1,14.0,7.5,4.45,0.13483146067415722
1,14.5,12.5,4.35,0.1609195402298851
1,15.5,24.0,4.5,0.12222222222222218
1,26.5,29.0,4.75,0.06315789473684207
1,8.0,10.0,4.5,0.12222222222222218
1,5.5,9.5,4.5,0.12222222222222218
1,23.25,17.5,4.5,0.12222222222222218
1,15.5,17.5,4.95,0.02020202020202013
1,32.25,25.0,4.5,0.12222222222222218
1,30.0,26.0,4.25,0.18823529411764703
1,,24.0,4.25,0.18823529411764703
1,30.5,22.5,4.5,0.12222222222222218
1,14.0,,4.8,0.052083333333333336
1,27.0,35.0,4.25,0.18823529411764703
1,18.5,17.75,4.5,0.12222222222222218
1,38.0,24.5,4.25,0.18823529411764703
1,16.5,16.5,4.25,0.18823529411764703
1,50.0,30.0,4.5,0.12222222222222218
1,20.5,39.0,4.75,0.06315789473684207
1,6.5,17.0,4.25,0.18823529411764703
